timestamp,id,cpu,memory,appName,operation
0,0,14,6,example,insertion
1,1,14,8,example,insertion
1,2,5,8,example,insertion
1,3,0,8,example,insertion
1,4,13,13,example,insertion
1,0,14,6,example,deletion
2,5,14,2,example,insertion
2,6,0,12,example,insertion
2,7,14,15,example,insertion
3,8,11,10,example,insertion
4,10,4,9,example,insertion
4,11,5,5,example,insertion
4,9,5,4,example,insertion
5,12,15,3,example,insertion
5,13,3,11,example,insertion
5,14,14,7,example,insertion
5,15,14,3,example,insertion
5,11,5,5,example,deletion
5,4,13,13,example,deletion
5,8,11,10,example,deletion
6,15,14,3,example,deletion
7,16,7,11,example,insertion
7,17,7,13,example,insertion
7,12,15,3,example,deletion
7,3,0,8,example,deletion
7,5,14,2,example,deletion
7,6,0,12,example,deletion
7,9,5,4,example,deletion
8,18,0,0,example,insertion
8,19,1,0,example,insertion
8,17,7,13,example,deletion
9,20,7,2,example,insertion
9,21,13,12,example,insertion
9,22,7,9,example,insertion
9,23,0,16,example,insertion
9,24,8,9,example,insertion
9,25,16,0,example,insertion
9,2,5,8,example,deletion
10,26,8,15,example,insertion
10,10,4,9,example,deletion
10,7,14,15,example,deletion
